"","feature","frequency"
"1192","the_moment",54
"1193","the_internet",54
"1194","here_are",54
"1195","out_that",54
"1196","work_in",54
"1197","the_law",54
"1198","gonna_be",54
"1199","like_you",54
"1200","just_the",54
"1201","the_following",54
"1202","time_with",54
"1203","the_beginning",54
"1204","with_him",54
"1205","here_and",54
"1206","good_to",54
"1207","the_work",54
"1208","and_make",54
"1209","see_a",54
"1210","the_water",54
"1211","hope_to",53
"1212","it_might",53
"1213","it_may",53
"1214","the_power",53
"1215","pick_up",53
"1216","work_on",53
"1217","you_got",53
"1218","that_have",53
"1219","even_the",53
"1220","but_this",53
"1221","no_idea",53
"1222","few_days",53
"1223","on_how",53
"1224","sure_to",53
"1225","than_i",53
"1226","i'm_in",53
"1227","the_university",53
"1228","use_the",53
"1229","be_an",53
"1230","get_in",53
"1231","through_a",53
"1232","are_still",53
"1233","time_the",53
"1234","at_me",53
"1235","a_book",53
"1236","known_as",53
"1237","to_those",53
"1238","now_the",53
"1239","willing_to",53
"1240","as_long",52
"1241","we_did",52
"1242","come_on",52
"1243","way_i",52
"1244","on_facebook",52
"1245","to_us",52
"1246","someone_who",52
"1247","to_and",52
"1248","see_it",52
"1249","from_his",52
"1250","focus_on",52
"1251","two_of",52
"1252","too_many",52
"1253","that_way",52
"1254","my_dad",52
"1255","say_the",52
"1256","i_told",52
"1257","has_not",52
"1258","though_i",52
"1259","good_for",52
"1260","come_in",52
"1261","you_may",52
"1262","university_of",52
"1263","a_pretty",52
"1264","it_comes",52
"1265","comes_to",52
"1266","friends_and",52
"1267","these_are",52
"1268","addition_to",52
"1269","a_job",52
"1270","a_free",52
"1271","of_being",52
"1272","me_on",52
"1273","including_the",52
"1274","in_for",51
"1275","is_all",51
"1276","starting_to",51
"1277","likely_to",51
"1278","something_to",51
"1279","i_look",51
"1280","for_one",51
"1281","all_this",51
"1282","you_go",51
"1283","i_might",51
"1284","much_for",51
"1285","put_it",51
"1286","hit_the",51
"1287","many_people",51
"1288","find_the",51
"1289","but_there",51
"1290","that's_what",51
"1291","back_on",51
"1292","him_in",51
"1293","the_issue",51
"1294","we_just",51
"1295","i_couldn't",51
"1296","how_it",51
"1297","group_of",51
"1298","a_more",51
"1299","made_me",51
"1300","the_little",51
"1301","the_west",51
"1302","something_that",51
"1303","the_process",51
"1304","the_district",51
"1305","said_but",51
"1306","dont_know",50
"1307","we_know",50
"1308","then_the",50
"1309","just_saw",50
"1310","all_in",50
"1311","is_being",50
"1312","the_bill",50
"1313","is_your",50
"1314","get_my",50
"1315","is_for",50
"1316","i_started",50
"1317","to_let",50
"1318","you_on",50
"1319","that_my",50
"1320","get_some",50
"1321","but_also",50
"1322","the_wall",50
"1323","who_will",50
"1324","sounds_like",50
"1325","with_our",50
"1326","and_at",50
"1327","still_have",50
"1328","my_family",50
"1329","when_a",50
"1330","two_weeks",50
"1331","are_all",50
"1332","to_check",50
"1333","know_it",50
"1334","they_would",50
"1335","but_when",50
"1336","plan_to",50
"1337","the_biggest",50
"1338","involved_in",49
"1339","but_then",49
"1340","to_pick",49
"1341","be_more",49
"1342","and_others",49
"1343","or_more",49
"1344","that_all",49
"1345","keep_it",49
"1346","they_could",49
"1347","one_in",49
"1348","it's_just",49
"1349","to_them",49
"1350","it_so",49
"1351","was_also",49
"1352","have_made",49
"1353","let_us",49
"1354","good_thing",49
"1355","is_always",49
"1356","the_three",49
"1357","nice_to",49
"1358","have_had",49
"1359","read_the",49
"1360","he_did",49
"1361","look_for",49
"1362","didn't_know",49
"1363","to_leave",49
"1364","thought_it",49
"1365","a_number",49
"1366","and_do",48
"1367","you_dont",48
"1368","department_of",48
"1369","it_does",48
"1370","there_i",48
"1371","think_it's",48
"1372","to_catch",48
"1373","one_thing",48
"1374","on_monday",48
"1375","have_it",48
"1376","put_the",48
"1377","night_and",48
"1378","all_those",48
"1379","i_took",48
"1380","were_the",48
"1381","are_some",48
"1382","won't_be",48
"1383","place_in",48
"1384","these_days",48
"1385","one_is",48
"1386","make_me",48
"1387","no_more",48
"1388","way_of",48
"1389","the_car",48
"1390","i_felt",48
"1391","few_years",48
"1392","plenty_of",48
"1393","that_and",48
"1394","he_also",48
"1395","they_don't",48
"1396","within_the",48
"1397","over_and",48
"1398","that's_the",48
"1399","on_what",48
"1400","which_he",48
"1401","the_years",48
"1402","what_happened",48
"1403","the_event",48
"1404","to_begin",48
"1405","to_believe",48
"1406","on_wednesday",48
"1407","become_a",47
"1408","tonight_at",47
"1409","i_decided",47
"1410","don't_like",47
"1411","the_center",47
"1412","family_and",47
"1413","the_church",47
"1414","in_time",47
"1415","home_in",47
"1416","must_have",47
"1417","things_i",47
"1418","there_will",47
"1419","that's_a",47
