"","feature","frequency"
"955","with_it",70
"956","next_to",73
"957","were_not",42
"958","this_book",28
"959","was_that",57
"960","off_to",80
"961","you_cant",39
"962","you_just",90
"963","don't_have",115
"964","about_what",55
"965","a_person",61
"966","on_our",66
"967","you_for",139
"968","the_problem",61
"969","i_told",52
"970","though_i",48
"971","other_than",45
"972","needs_to",96
"973","in_front",68
"974","a_beautiful",58
"975","find_the",51
"976","was_still",37
"977","and_said",60
"978","people_are",85
"979","have_had",49
"980","and_see",56
"981","since_the",88
"982","people_to",64
"983","who_was",95
"984","you_may",52
"985","and_are",65
"986","that_can",63
"987","not_going",64
"988","me_in",65
"989","to_those",53
"990","way_of",48
"991","a_different",61
"992","go_back",59
"993","a_better",71
"994","and_an",69
"995","between_the",69
"996","or_two",55
"997","going_on",67
"998","opportunity_to",57
"999","yes_i",61
"1000","for_them",60
"1001","what_they",77
"1002","an_hour",63
"1003","two_of",52
"1004","to_live",69
"1005","my_friends",69
"1006","end_up",56
"1007","filled_with",46
"1008","my_dad",52
"1009","around_and",40
"1010","put_on",56
"1011","love_it",93
"1012","the_wall",50
"1013","all_this",51
"1014","was_just",99
"1015","friends_and",52
"1016","to_feel",41
"1017","thing_i",57
"1018","within_the",48
"1019","my_family",50
"1020","of_being",52
"1021","did_you",137
"1022","at_my",62
"1023","listen_to",71
"1024","the_post",44
"1025","and_make",54
"1026","to_learn",71
"1027","the_box",26
"1028","set_up",60
"1029","while_the",51
"1030","it_might",53
"1031","but_then",49
"1032","did_the",45
"1033","it_could",62
"1034","this_morning",112
"1035","am_i",70
"1036","long_as",56
"1037","each_of",41
"1038","the_place",40
"1039","be_on",76
"1040","using_the",38
"1041","started_to",35
"1042","you_should",109
"1043","who_had",74
"1044","the_real",62
"1045","managed_to",33
"1046","and_also",39
"1047","to_them",49
"1048","the_front",60
"1049","went_on",55
"1050","a_young",44
"1051","sometimes_i",40
"1052","point_of",45
"1053","time_with",54
"1054","few_years",45
"1055","once_again",41
"1056","the_ones",42
"1057","here_and",54
"1058","time_the",49
"1059","for_one",51
"1060","not_even",59
"1061","thought_i",43
"1062","love_with",36
"1063","the_work",54
"1064","and_be",72
"1065","all_day",83
"1066","it_so",49
"1067","they_would",50
"1068","it's_not",120
"1069","with_him",54
"1070","them_the",36
"1071","the_worst",57
"1072","that_way",52
"1073","use_the",53
"1074","listening_to",85
"1075","a_picture",30
"1076","work_with",59
"1077","right_to",56
"1078","a_child",40
"1079","dont_think",35
"1080","to_us",52
"1081","be_more",49
"1082","work_on",53
"1083","a_comment",24
"1084","on_that",80
"1085","with_no",60
"1086","it_does",48
"1087","more_and",40
"1088","turns_out",32
"1089","so_they",44
"1090","the_sun",68
"1091","for_now",41
"1092","see_if",46
"1093","a_full",62
"1094","all_those",48
"1095","would_you",65
"1096","things_i",47
"1097","the_price",42
"1098","made_the",63
"1099","the_ground",43
"1100","give_you",37
"1101","he_will",63
"1102","him_in",47
"1103","or_so",34
"1104","a_bad",70
"1105","of_its",91
"1106","comes_to",52
"1107","at_work",71
"1108","ended_up",33
"1109","a_month",61
"1110","i_remember",58
"1111","we_would",45
